vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
1682,Kindchenschema,"Tasks: free-play task
Demographic: 3-7 year olds of all races/ethnicities and genders
File types: .mp4",2023-12-18T21:56:44.735434Z,2025-03-05T16:35:42.754440Z,public_overview_only,5908,Sabine,Doebel,George Mason University
1763,Inclusive Developmental Science Library,Videos of development as it occurs in various contexts and cultures. The goal of this volume is to showcase development in all its diversity while also highlighting some commonalities among children developing in different settings.,2024-06-17T14:59:56.467392Z,2025-03-05T16:35:47.800918Z,public_overview_only,5908,Sabine,Doebel,George Mason University
