vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
33,Representing exact number visually using mental abacus,"Mental abacus (MA) is a system for performing rapid and precise arithmetic by manipulating a mental representation of an abacus, a physical calculation device. Previous work has speculated that MA is based on visual imagery, suggesting that it might be a method of representing exact number nonlinguistically, but given the limitations on visual working memory, it is unknown how MA structures could be stored. We investigated the structure of the representations underlying MA in a group of children in India. Our results suggest that MA is represented in visual working memory by splitting the abacus into a series of columns, each of which is independently stored as a unit with its own detailed substructure. In addition, we show that the computations of practiced MA users (but not those of control participants) are relatively insensitive to verbal interference, consistent with the hypothesis that MA is a nonlinguistic format for exact numerical computation.",Representing Exact Number with Mental Abacus,2014-07-28T17:21:21.316175Z,2025-03-05T16:34:41.589845Z,public,258,Michael C.,Frank,Stanford University
34,Development of infants’ attention to faces during the first year (eye-tracking),"In simple tests of preference, infants as young as newborns prefer faces and face-like stimuli over distractors. Little is known, however, about the development of attention to faces in complex scenes. We recorded eye-movements of 3-, 6-, and 9-month-old infants and adults during free-viewing of clips from A Charlie Brown Christmas (an animated film). The tendency to look at faces increased with age. Using novel computational tools, we found that 3-month-olds were less consistent (across individuals) in where they looked than were older infants. Moreover, younger infants’ fixations were best predicted by low-level image salience, rather than the locations of faces. Between 3 and 9 months of age, infants gradually focused their attention on faces. We discuss several possible interpretations of this shift in terms of social development, cross-modal integration, and attentional/executive control.",Development of infant attention to faces,2014-07-28T17:32:23.789794Z,2025-03-05T16:34:41.605610Z,public,258,Michael C.,Frank,Stanford University
35,Number as a cognitive technology: Evidence from Pirahã language and cognition,"Does speaking a language without number words change the way speakers of that language perceive exact quantities? The Pirahã are an Amazonian tribe who have been previously studied for their limited numerical system [Gordon, P. (2004). Numerical cognition without words: Evidence from Amazonia. Science 306, 496–499]. We show that the Pirahã have no linguistic method whatsoever for expressing exact quantity, not even “one.” Despite this lack, when retested on the matching tasks used by Gordon, Pirahã speakers were able to perform exact matches with large numbers of objects perfectly but, as previously reported, they were inaccurate on matching tasks involving memory. These results suggest that language for exact number is a cultural invention rather than a linguistic universal, and that number words do not change our underlying representations of number but instead are a cognitive technology for keeping track of the cardinality of large sets across time, space, and changes in modality.",Number as cognitive technology,2014-07-28T17:48:26.487701Z,2025-03-05T16:34:41.620629Z,public,258,Michael C.,Frank,Stanford University
36,Measuring the development of social attention using free-viewing,"How do young children direct their attention to other people in the natural world? Although many studies have examined the perception of faces and of goal-directed actions, relatively little work has focused on what children will look at in complex and unconstrained viewing environments. To address this question, we showed videos of objects, faces, children playing with toys, and complex social scenes to a large sample of infants and toddlers between 3 and 30 months old. We found systematic developmental changes in what children looked at. When viewing faces alone, younger children looked more at eyes and older children more at mouths, especially when the faces were making expressions or talking. In the more complex videos, older children looked more at hands than younger children, especially when the hands were performing actions. Our results suggest that as children develop they become better able to direct their attention to the parts of complex scenes that are most interesting socially.",Development of social attention,2014-07-28T18:18:46.157183Z,2025-03-05T16:34:41.635453Z,public,258,Michael C.,Frank,Stanford University
37,Visual search and attention to faces during early infancy,"Newborn babies look preferentially at faces and face-like displays, yet over the course of their first year much changes about both the way infants process visual stimuli and how they allocate their attention to the social world. Despite this initial preference for faces in restricted contexts, the amount that infants look at faces increases considerably during the first year. Is this development related to changes in attentional orienting abilities? We explored this possibility by showing 3-, 6-, and 9-month-olds engaging animated and live-action videos of social stimuli and also measuring their visual search performance with both moving and static search displays. Replicating previous findings, looking at faces increased with age; in addition, the amount of looking at faces was strongly related to the youngest infants’ performance in visual search. These results suggest that infants’ attentional abilities may be an important factor in facilitating their social attention early in development.",Visual search and attention to faces,2014-07-28T19:12:00.812236Z,2025-03-05T16:34:41.650350Z,public,258,Michael C.,Frank,Stanford University
38,The development of predictive processes in children’s discourse understanding,"We investigate children's online predictive processing as it occurs naturally, in conversation. We showed 1-7 year-olds short videos of improvised conversation between puppets, controlling for available linguistic information through phonetic manipulation. Even one- and two-year-old children made accurate and spontaneous predictions about when a turn-switch would occur: they gazed at the upcoming speaker before they heard a response begin. This predictive skill relies on both lexical and prosodic information together, and is not tied to either type of information alone. We suggest that children integrate prosodic, lexical, and visual information to effectively predict upcoming linguistic material in conversation.",Development of predictive processes,2014-07-28T20:21:58.138756Z,2025-03-05T16:34:41.667846Z,public,258,Michael C.,Frank,Stanford University
101,"Head-camera study of novel word learning with 8-, 12-, and 16-month olds",Data from headcamera video studies conducted in the Stanford Language and Cognition Lab. Videos comprise a dataset for a project currently in progress.,Head-camera word learning (XS-FACE),2015-01-09T20:47:22.833875Z,2025-03-05T16:34:42.997507Z,public,258,Michael C.,Frank,Stanford University
235,Sample play session video,Sample play session video,Sample play,2016-05-11T17:47:02.650056Z,2025-03-05T16:34:47.188942Z,public,258,Michael C.,Frank,Stanford University
691,Ad-hoc pragmatic implicatures among Shipibo-Konibo children in the Peruvian Amazon,"Example videos (mp4 format) of the study procedure described in ""Procedure"" of Fortier, M., Kellier, D., Flecha, M. F., & Frank, M.C. Ad-hoc pragmatic implicatures among Shipibo-Konibo children in the Peruvian Amazon (in prep).
Data repository: github.com/langcog/amazon_pragmatics",Pragmatics - Shipibo,2018-05-14T18:00:59.010530Z,2025-03-05T16:35:00.079879Z,public,258,Michael C.,Frank,Stanford University
1362,PLAYProject_STANF,"Home visit video data sessions collected as part of Stanford’s contributions to the NIH-funded Play and Learning Across a Year (PLAY) Project. Session data consist of the following:
-Video files of 1-hour natural play, 5-minute structured play, house walk-through, and questionnaires
-Responses to questionnaires covering the participant’s demographics, language, temperament, and locomotion
-Ambient noise decibel meter recordings captured during the 1-hour natural play",NA,2021-09-19T21:47:16.250934Z,2025-03-05T16:35:26.389194Z,public_overview_only,258,Michael C.,Frank,Stanford University
