vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
717,Self-directed learning by preschoolers in a naturalistic overhearing context,"Experiment 1: 3-4.5-year-olds
    2 conditions: Overhearing (phone call; halfalogue), Pedagogical (direct instruction)
Experiment 2: 4.5-6-year-olds
    2 conditions: Overhearing (phone call; halfalogue), Pedagogical (direct instruction)
Experiment 3: 3-4.5-year-olds
    1 condition: Overhearing (phone call on speaker phone; dialogue)",Active Overhearing,2018-06-18T21:37:10.727778Z,2025-03-05T16:35:01.982525Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
782,(Blank),n/a,NA,2018-10-17T18:56:52.180138Z,2025-03-05T16:35:03.796680Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
820,Scarcity and CDS,Scarcity Task,NA,2018-12-02T19:51:33.163203Z,2025-03-05T16:35:04.429340Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
840,title,description,NA,2019-01-30T20:51:38.351985Z,2025-03-05T16:35:05.157374Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
841,"Polysemy, Knowledge, & Memory","This study assesses the role of polysemy in children's word extension performance and memory for novel words
Participants are children aged 4-6, and adults 
Videos of experimental sessions stored here",PolyKnow,2019-01-31T19:13:18.131606Z,2025-03-05T16:35:05.185493Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
843,Contrasting Linguistic Complexity,eyetracking during viewing of a picture book narrated at two different levels of linguistic complexity,Storybook,2019-02-05T00:08:12.436902Z,2025-03-05T16:35:05.251066Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
847,Linguistic Conventionality,"referential communication task 
participants: 5-year-olds and adults",Linguistic Conventionality,2019-02-12T19:21:07.752778Z,2025-03-05T16:35:05.390243Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
912,Storybook,Contrasting linguistic complexity task composed of a standardized vocabulary measure (PPVT) and speaker habituation and preference.,Storybook,2019-05-23T20:31:03.809798Z,2025-03-05T16:35:08.912811Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
938,Adapt,"This volume contains a variety of data from each participant, including:
- Videos from an in-lab selective attention task
- Eyetracking data during selective attention task
- Videos from an at-home overhearing task
- LENA summary files",NA,2019-06-27T20:22:33.491669Z,2025-03-05T16:35:09.561131Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
1060,Grounding Faultless Disagreement,"keynote presentation with script presenting disagreements over 7 adjectives, grounded in experience or perspective (within-subjects)",13.0 Adjectives By-Item,2020-02-07T20:18:32.778581Z,2025-03-05T16:35:14.918334Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
1489,DBN - India - Wave 1 - Data Collection,This volume contains video and audio files from data collected in India during Wave 1 of the project.,NA,2022-07-13T20:35:24.138901Z,2025-03-05T16:35:32.602423Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
1693,DBN - India -  Datasets,"This volume stores task-by-task subsets of DBN data collection in India (Hindu & Muslim). This includes data from the Child Protocol, Parent Protocol, and Religious Landscape Survey. These data and the volume are to be kept PRIVATE!",NA,2024-01-31T01:26:04.989942Z,2025-03-05T16:35:43.234100Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
1819,DBN - Israel (Muslim sample) - Wave 1 - Data collection,This volume contains video and audio files from data collected in Israel during Wave 1 of the project.,NA,2024-12-10T06:59:01.054735Z,2025-03-05T16:35:49.688044Z,public_overview_only,1515,Mahesh,Srinivasan,UC Berkeley
