vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
968,OmissionBlender_13,"- Video study, helpful vs unhelpful, looking at reactions to emotions
- Age: 13.15-14.15",NA,2019-09-09T22:47:36.414627Z,2025-03-05T16:35:10.603951Z,public_overview_only,2525,Kiley,Hamlin,University of British Columbia
969,"1 month Visit - Paddles, CryBaby, and Imitation","- Longitudinal Study
- Paddles: seeing to what extent babies move their heads and eyes to follow an image
- CryBaby: monitoring how babies respond to other babies crying
- Imitation: seeing if babies will mimic adult facial expressions
- Age: 0.0 - 1.15",NA,2019-09-09T22:52:43.346179Z,2025-03-05T16:35:10.618243Z,public_overview_only,2525,Kiley,Hamlin,University of British Columbia
972,Bullies2_Rep9,"- Puppet Show Study with food preference, seeing if babies will pick recipient of the helpful action over the recipient of the unhelpful action  
- Age: 8.15-9.15",NA,2019-09-09T22:58:32.161986Z,2025-03-05T16:35:10.645782Z,public_overview_only,2525,Kiley,Hamlin,University of British Columbia
973,Bullies2_Rep14,"- Puppet Show Study with food preference, seeing if babies will pick recipient of the helpful action over the recipient of the unhelpful action  
- Age: 14.00-15.15",NA,2019-09-09T22:59:22.127495Z,2025-03-05T16:35:10.660278Z,public_overview_only,2525,Kiley,Hamlin,University of British Columbia
974,Mislabelers_19,"- Projector study/interactive study, accurate/inaccurate labelers
- Age: 18.00-20.00",NA,2019-09-09T23:01:24.332900Z,2025-03-05T16:35:10.674359Z,public_overview_only,2525,Kiley,Hamlin,University of British Columbia
975,HappyFace_22,"- fEMG Puppet Show, Ball - Helping vs. Hindering Paradigm
- Age: 22.15-23.15",NA,2019-09-09T23:04:13.133504Z,2025-03-05T16:35:10.688772Z,public_overview_only,2525,Kiley,Hamlin,University of British Columbia
976,Bullies2_P2,"- Puppet Show, Recipient of helpful and unhelpful actions influences babies’ social preferences.
- Age: 8.15-14.30",NA,2019-09-11T17:28:53.885477Z,2025-03-05T16:35:10.711006Z,public_overview_only,2525,Kiley,Hamlin,University of British Columbia
977,EndaHill_24,"- EDA electrodes, Video study, Helpful/Unhelpful 
- Age: 23.15 - 24.15",NA,2019-09-11T17:39:47.131162Z,2025-03-05T16:35:10.725354Z,public_overview_only,2525,Kiley,Hamlin,University of British Columbia
978,MB2_,"- Eye Tracking Study, theory of mind
- 18.0 - 26.0",NA,2019-09-11T22:35:58.309439Z,2025-03-05T16:35:10.739420Z,public_overview_only,2525,Kiley,Hamlin,University of British Columbia
1048,Bullies2_Rep,"- Puppet Show Study with food preference, seeing if babies will pick recipient of the helpful action over the recipient of the unhelpful action
- Age: 8.15-14.30",NA,2020-01-27T20:48:32.071487Z,2025-03-05T16:35:14.572336Z,public_overview_only,2525,Kiley,Hamlin,University of British Columbia
