vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
1180,Children rationally adjust cognitive effort based on task difficulty and reward probability,"Tasks: children played computerized counting games
Demographics: 4~5 year old English speaking children participating online
Files: mp4 files",senioritis,2020-09-02T13:04:39.475046Z,2025-03-05T16:35:19.753567Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1191,Toddler numerical matching online study,Toddler number matching study. 2-3 years.,whose cookies,2020-10-08T17:04:46.141685Z,2025-03-05T16:35:20.069354Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1306,Does children's judgment of numerical decision vary by age and species?,How 5-8 years old children expect other agents make numerical decisions,Belief ANS,2021-04-14T12:37:26.168138Z,2025-03-05T16:35:24.414953Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1342,Hysteresis storybook,hysteresis and a choose-your-own-adventure storybook,NA,2021-07-12T13:52:50.750941Z,2025-03-05T16:35:25.728434Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1343,See Numbers 1.0 csv files,coded looking time video files for See Numbers 1.0,NA,2021-07-12T14:27:16.010149Z,2025-03-05T16:35:25.742363Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1344,See Numbers 2.0 coded csv files,coded csv files for See Numbers 2.0,NA,2021-07-12T19:10:54.376400Z,2025-03-05T16:35:25.756284Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1345,What's Counting 1.0,coded csv files and videos for What's counting for babies 1.0,NA,2021-07-12T19:11:19.970777Z,2025-03-05T16:35:25.770778Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1346,What's counting 2.0,coded csv files for what's counting 2.0,NA,2021-07-12T19:12:03.081757Z,2025-03-05T16:35:25.784584Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1347,Which will Kelly choose csv files,coded csv files for Which amount will kelly choose,NA,2021-07-12T19:12:31.319786Z,2025-03-05T16:35:25.798292Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1373,In person Counting,In person Give-N and What's on This Card,NA,2021-10-13T16:38:14.415500Z,2025-03-05T16:35:26.949082Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1608,What's counting 3.0,"csv files and videos of Whats Counting 3.0
(6 to 14 months online looking time task)",What's counting 3.0,2023-06-05T20:39:04.250500Z,2025-03-05T16:35:38.478883Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1802,GARDEN Collaboration - Module 8,"tasks and stimuli (e.g, audio recordings, images)
participant videos",GARDEN Collab,2024-10-03T23:40:55.769011Z,2025-03-05T16:35:48.900566Z,public_overview_only,6754,Jenny,Wang,Rutgers University
1810,What's Counting 4.0,What's Counting 4.0 csv files and videos,NA,2024-11-11T19:56:01.633593Z,2025-03-05T16:35:49.200471Z,public_overview_only,6754,Jenny,Wang,Rutgers University
