vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,vol_short_name,user_id,user_prename,user_sortname,user_affiliation
139,Fostering Children’s Reasoning about Disagreements through an Inquiry-based Curriculum (time point 1),"This is the first testing session in a longitudinal study looking into children's scientific reasoning skills and metacognition.
Tasks: diagnostic reasoning task, disagreement task, open-ended question about science
Population: kindergarteners and first graders in a middle-class suburban school district",2015-06-01T13:42:07.918823Z,2025-03-05T16:34:43.688407Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
149,Constructing Science: Connecting Causal Reasoning to Scientific Thinking in Young Children - which outcomes are science (chapter 7),This dataset corresponds to a task described in chapter 7 of the cited book. It asks young children to judge whether or not characters in a series of vignettes are doing science. The vignettes vary in terms of how the outcome of the character's investigation is described (whether they obtained the correct answer or not).,2015-06-15T15:47:52.535016Z,2025-03-05T16:34:43.900835Z,public,WiS Outcomes,562,Deena Skolnick,Weisberg,Villanova University
150,Preschoolers' extension and export of information from realistic and fantastical stories (Study 2),"These studies investigate how children extend information within the context of fictional stories, how they export information from stories to reality, and whether these processes are affected by the story’s degree of realism.

Preschool-aged children heard a story and judged whether events that happened at one point in that story could happen later in the story and could happen in real life.",2015-06-15T16:00:28.607286Z,2025-03-05T16:34:43.914551Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
171,Constructing Science: Connecting Causal Reasoning to Scientific Thinking in Young Children - blicket task with adults (chapter 5),"This dataset corresponds to a task described in Chapter 5 of the book Constructing Science: Connecting Causal Reasoning to Scientific Thinking in Young Children, in which adults (psych pool participants) respond to a diagnostic reasoning task using a blicket detector machine.",2015-10-13T17:57:57.165026Z,2025-03-05T16:34:44.951394Z,public,Adult Blicket Task (Psych Pool),562,Deena Skolnick,Weisberg,Villanova University
184,Investigating the effectiveness of fantasy stories for teaching scientific principles (study 1),"Educational media often contain fantastical information. Although some prior research suggests that this information interferes with children’s learning, other work shows that fantasy benefits learning under certain circumstances. To investigate this issue and to clarify how different types of fantastical events might affect children’s learning, we presented preschoolers (N = 99 in Study 1; N = 101 in Study 2) with stories that contained events that violated real-world physical laws, violated real-world biological laws, or did not violate any real-world laws. Within each story, we embedded two pieces of educational information, one each from the domains of biology and physics, to test (a) whether there are benefits of fantastical information on learning and (b) whether such benefits are domain specific. Across both studies, we found that children generally learned both types of information best from the story with physical violations, suggesting that such events can bolster children’s learning.

This volume contains videos from participants in Study 1 of this paper.",2015-11-09T19:01:20.696670Z,2025-03-05T16:34:45.179631Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
207,"Of Blickets, Butterflies, and Baby Dinosaurs: Children’s Diagnostic Reasoning Across Domains (Study 1, blicket condition)","Children (ages 4-10) receive a diagnostic reasoning problem using a blicket detector. They are asked ""What is science?"" and prompted to describe what they think about when they think about the word science.",2016-02-16T14:32:33.558056Z,2025-03-05T16:34:45.601060Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
253,"Of Blickets, Butterflies, and Baby Dinosaurs: Children’s Diagnostic Reasoning Across Domains (Study 1, butterfly condition)","Children (ages 4-10) receive a diagnostic reasoning problem that parallels a version with a blicket detector but that uses a causal system involving butterflies and flowers. Children are also asked ""What is science?"" and prompted to describe what they think about when they think about the word science.",2016-07-18T17:21:16.667439Z,2025-03-05T16:34:48.112899Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
269,"Of Blickets, Butterflies, and Baby Dinosaurs: Children’s Diagnostic Reasoning Across Domains (Study 2)","Children (ages 4-10) receive two versions of the same diagnostic reasoning task, one using a blicket detector and one couched in terms of butterflies and flowers. These tasks are the same as in Study 1 of this paper, but they are now presented within-subjects rather than between-subjects. They are also asked whether they the two problems are the same. Children are also asked ""What is science?"" and prompted to describe what they think about when they think about the word science.",2016-10-14T13:48:41.043143Z,2025-03-05T16:34:49.650770Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
308,Investigating the effectiveness of fantasy stories for teaching scientific principles (study 2),"Educational media often contain fantastical information. Although some prior research suggests that this information interferes with children’s learning, other work shows that fantasy benefits learning under certain circumstances. To investigate this issue and to clarify how different types of fantastical events might affect children’s learning, we presented preschoolers (N = 99 in Study 1; N = 101 in Study 2) with stories that contained events that violated real-world physical laws, violated real-world biological laws, or did not violate any real-world laws. Within each story, we embedded two pieces of educational information, one each from the domains of biology and physics, to test (a) whether there are benefits of fantastical information on learning and (b) whether such benefits are domain specific. Across both studies, we found that children generally learned both types of information best from the story with physical violations, suggesting that such events can bolster children’s learning.

This volume contains videos from participants in Study 2 of this paper.",2017-01-30T15:13:19.413513Z,2025-03-05T16:34:51.049179Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
359,Fostering Children’s Reasoning about Disagreements through an Inquiry-based Curriculum (time point 2),"This is the second testing session in a longitudinal study looking into children's scientific reasoning skills and metacognition.
Tasks: diagnostic reasoning task, disagreement task, open-ended question about science
Population: first- and third-graders in a middle-class suburban school district",2017-05-22T15:44:50.127501Z,2025-03-05T16:34:52.095952Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
400,Preschoolers' extension and export of information from realistic and fantastical stories (Study 1),"These studies investigate how children extend information within the context of fictional stories, how they export information from stories to reality, and whether these processes are affected by the story’s degree of realism.

Preschool-aged children heard a story and judged whether events that happened at one point in that story could happen later in the story and could happen in real life.",2017-06-14T13:43:08.752654Z,2025-03-05T16:34:52.841788Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
592,The Development of Substitute Object Pretense: The Differential Importance of Form and Function,"Substitute object pretense is one of the earliest-developing forms of pretense, and yet it changes considerably across the preschool years. By 3.5 years of age, children can pretend with substitutes that are highly dissimilar from their intended referents (Elder & Pederson, 1978), but even older children have difficulty understanding such pretense in others (Bigham & Bourchier-Sutton, 2007). The present studies had 3 aims: 1) to examine the relative influence of the form and function of substitute objects; 2) to replicate the age gap between pretense production and comprehension using a tightly controlled procedure; and 3) to investigate whether preschoolers’ comprehension of substitute object pretense is predicted by a) theory of mind (ToM), because it involves reading pretender intent, and (b) executive function (EF), because it involves inhibiting the substitute object’s identity. In Study 1, 3- to 5-year-old children performed at ceiling on a test of substitute object pretense production, whereas pretense comprehension improved considerably across this age range. Study 2 provided evidence that the function of a substitute object is more influential than its form in determining whether a child can comprehend pretense actions with the object. The results of Study 2 also provided support for the role of ToM in comprehending another’s pretense. Finally, Study 3 replicated the results regarding form, function, and ToM in a sample drawn from a different community. The effects of EF on pretense comprehension were inconsistent across conditions and studies, suggesting that EF may not play a major role in the comprehension of pretense with substitute objects.",2018-02-21T15:43:17.760937Z,2025-03-05T16:34:57.918940Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
854,Dinos and GoPros: Children’s exploratory behaviors in a museum and their reflections on their learning,"These data are views from head- or chest-mounted GoPros on children they naturalistically explore a museum environment (Academy of Natural Sciences in Philadelphia). Each child should have 3 videos associated with them: one from their own camera, one from a research assistant who was following them around to obtain a third-person view, and one that merges those two view. Children in this study were between 6 and 10 years old.

In addition to engaging in a 10-minute exploration period, children also participated in a post-exploration interview which asked about their experiences in the museum and about their views of learning in general; this is captured in a separate video for each participant.",2019-02-15T19:01:34.168036Z,2025-03-05T16:35:05.681514Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
950,"Of Blickets, Butterflies, and Baby Dinosaurs: Children’s Diagnostic Reasoning Across Domains (Study 3)",Children (ages 4-10) engaged in a diagnostic reasoning task involving categorizing different kinds of dinosaurs.,2019-07-29T17:53:12.335283Z,2025-03-05T16:35:09.917356Z,public,NA,562,Deena Skolnick,Weisberg,Villanova University
1122,Content Analysis,Training materials for the content analysis representation project,2020-04-17T13:25:16.327456Z,2025-03-05T16:35:17.205569Z,public_overview_only,Content Analysis,562,Deena Skolnick,Weisberg,Villanova University
1272,Arundhati's Frustration Study,"“When Sophie Gets Angry – Really, Really Angry” on the screen so that the parent and child are able to see it. Parents will be given remote control over the screen and instructed to read the book to their child and discuss it, as they would do at home.
The parents will also be instructed that there is no time limit and they can take as much time as needed. After the shared book reading activity, the experimenter will screen share a password-protected website with the participants. The children will be given an incorrect password to enter and will be told that once they ‘unlock’ the website they will be able to see an exciting Minion GIF. They will be given 3 minutes to try to unlock the website. The experimenter will leave the ‘online room’ by turning off their video for the duration of this task. After 3 minutes, the experimenter will return and give the child the correct password.",2021-01-18T15:04:20.608901Z,2025-03-05T16:35:23.094553Z,public_overview_only,NA,562,Deena Skolnick,Weisberg,Villanova University
1544,ST-Anthropomorphism,This study looks at how children learn scientific information from fictional stories and whether that varies by the amount and type of anthropomorphism present in the story.,2022-11-14T20:46:06.621487Z,2025-03-05T16:35:35.391489Z,public_overview_only,NA,562,Deena Skolnick,Weisberg,Villanova University
