vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,vol_short_name,user_id,user_prename,user_sortname,user_affiliation
578,Episodic vs Semantic False Belief,Video recordings of study for all participants.,2018-02-01T20:14:32.381287Z,2025-03-05T16:34:57.797962Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
719,Prediction,Video data from 4- and 5-year-old participants,2018-06-20T13:50:09.502220Z,2025-03-05T16:35:02.013998Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
733,Prediction V2,Videos of 4- and 5-year-olds participating in this study,2018-07-17T15:30:28.993638Z,2025-03-05T16:35:02.661293Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
734,Prediction V3,Video data of 4- and 5-year-old participants,2018-07-17T15:34:36.714567Z,2025-03-05T16:35:02.676148Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
786,Chimney Strategy,Chimney Strategy,2018-10-26T19:41:07.151888Z,2025-03-05T16:35:03.880333Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
787,Chimney Strategy v2,Chimney Strategy v2,2018-10-26T20:19:53.053866Z,2025-03-05T16:35:03.894670Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
788,HAB Pilot v2,HAB Pilot v2,2018-10-26T20:51:14.399002Z,2025-03-05T16:35:03.909084Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
814,Trust in Context: Machine,Trust in Context: Machine,2018-11-02T19:04:10.905900Z,2025-03-05T16:35:04.255101Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
855,Punishment,Punishment vids,2019-02-16T00:04:13.246867Z,2025-03-05T16:35:05.696746Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
923,Prediction V4,Videos,2019-06-07T14:13:33.666152Z,2025-03-05T16:35:09.099519Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
924,Trust in Context: Rattle,Videos,2019-06-07T14:54:22.927003Z,2025-03-05T16:35:09.112573Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
933,HAB & Trust,HAB & Trust videos,2019-06-14T20:33:36.423824Z,2025-03-05T16:35:09.376378Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
935,Trust in Context: Strategy,Videos,2019-06-21T19:49:31.329756Z,2025-03-05T16:35:09.429824Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
942,Trust in Context: Flipped,Video,2019-07-12T18:05:36.658224Z,2025-03-05T16:35:09.642318Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
948,HAB & Trust V2,Videos,2019-07-26T19:58:25.776329Z,2025-03-05T16:35:09.804776Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
995,HAB & Trust V3,HAB & Trust V3 video backups,2019-09-26T21:14:24.850250Z,2025-03-05T16:35:11.895539Z,public_overview_only,NA,2945,Carolyn,Palmquist,Amherst College
1067,Prediction Mechanisms Pilot,Prediction Mechanisms Pilot Videos,2020-02-21T19:41:57.697476Z,2025-03-05T16:35:15.240983Z,public_overview_only,Prediction Mechanisms Pilot,2945,Carolyn,Palmquist,Amherst College
1068,Prediction Mechanisms,Prediction Mechanisms Videos,2020-02-21T20:01:00.837998Z,2025-03-05T16:35:15.259538Z,public_overview_only,Prediction Mechanisms,2945,Carolyn,Palmquist,Amherst College
