vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
15,Facial expressions in 6-month old infants and their parents in the still face paradigm and attachment at 15 months in the Strange Situation,"Six-month-old infants and their parents were video-recorded in the Face-to-Face/Still-Face (FFSF) procedure (Adamson & Frick, 2003). Infants sat in a carseat and their parents sat across from them. Parents and infants engaged in 3 minutes of natural positive interaction, then 2 minutes of parent still-face in which parents were asked to not respond to their infants, and then 3 minutes of renewed interaction. At 15 months, these infants and parents then completed the Strange Situation to assess attachment security, which consists of a series of separations and reunions. Consent was obtained to share six of the twelve dyads.",Messinger12,2014-04-24T19:30:13.048841Z,2025-03-05T16:34:41.349427Z,public,70,Daniel,Messinger,University of Miami
108,Facial expressions in 4-month-olds in the still face paradigm and later attachment at 12 months in the Strange Situation,"Four-month-old infants and their parents were video-recorded in the Face-to-Face/Still-Face (FFSF) procedure (Adamson & Frick, 2003). Infants sat in a seat and their parents sat across from them. Parents and infants engaged in 2 minutes of natural positive interaction, then 2 minutes of parent still-face in which parents were asked to not respond to their infants, and then 2 minutes of renewed interaction. At 12 months, these infants and parents then completed the Strange Situation to assess attachment security, which consists of a series of separations and reunions.",Face-to-Face Interaction and Attachment Outcome,2015-02-12T21:28:59.530727Z,2025-03-05T16:34:43.090448Z,public,70,Daniel,Messinger,University of Miami
987,Interactive Behavior in Schools (IBIS),"Video visualizations of automated observations of preschool classroom activity. Position/orientation of children (students), teachers, and observers via Ubisense RFID data; vocalization detection via first-person audio (LENA) recorders. Video visualizations are four times (4x) normal speed. Children are 2 - 5 years of age. Each data folder contains visualizations of one classroom observed during one school year (e.g., 2019-2020 [1920]).
1. Visualizations from classrooms in which some children have autism spectrum disorder (ASD) are contained in the following data folders: PR_LA_1819, PR_LA_1920, PR_LP_1819, PR_LP_1920, PR_RA_1819, TR_AV_1920, and TR_TU_1920. 
1a. Among visualizations of classrooms in which some children have autism spectrum disorder (ASD), PR_LA_1819, PR_LA_1920, PR_LP_1819, PR_LP_1920 are ASD classrooms utilizing a LEAP curriculum. The LEAP classrooms contain (only) children with ASD (blue)
and typically developing children (red).
2. Visualizations from classrooms in which some children have hearing loss are contained in the following data folders: DB_LB_1617, DB_LB_1718, and DB_LB_1819.
3. Fasano, et al. (2021) visualizations are contained in PR_LA_1819, PR_LP_1819, PR_RA_1819, TR_AV_1920, and TR_TU_1920.",Interactive Behavior in Schools,2019-09-20T16:52:17.265299Z,2025-03-05T16:35:11.712523Z,public,70,Daniel,Messinger,University of Miami
1474,Automated measurement of infant and mother Duchenne facial expressions in the Face-to-Face/Still-Face,"Four-month-old infants and their mothers were video-recorded in the Face-to-Face/Still-Face (FFSF) procedure (Adamson & Frick, 2003). Infants sat in a seat and their mothers sat across from them. Infants and mothers engaged in 2 minutes of face-to-face interaction (face-to-face episode), then 2 minutes of mother still-face in which mothers were asked to not respond to their infants (still-face episode), and then 2 minutes of renewed interaction (reunion episode). Automated measurement using computer vision was applied to infant and mother facial expressions during the FFSF. Deidentified, aggregate dataset containing the proportions of infant and mother Duchenne and non-Duchenne facial expressions in each FFSF episode is shared.",Automated Measurement of FFSF,2022-06-10T20:46:57.212074Z,2025-03-05T16:35:32.023601Z,public,70,Daniel,Messinger,University of Miami
