vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,vol_short_name,user_id,user_prename,user_sortname,user_affiliation
574,2017_6 Pilot,Pilot of truth value task,2018-01-24T16:28:01.899446Z,2025-10-15T17:17:07.674021Z,public_overview_only,NA,2521,Joshua,Hartshorne,MGH Institute of Health Professions
577,2017_11_sorting,"Pilot data obtained from an iPad study in which children sort images into categories (YES- image is definitely in the desired category of objects or NO- image is definitely not in the desired category of objects). Some images are clearly the object, some are clearly not, and some are somewhat similar to the object but are still clearly not the object. Data is collected from English speaking children ages 3-6 years old in preschools and museums in the Boston area.",2018-01-30T17:32:25.101917Z,2025-10-15T17:16:57.407785Z,public_overview_only,Sorting Task,2521,Joshua,Hartshorne,MGH Institute of Health Professions
1452,KidTalk,KidTalk data,2022-04-19T18:19:36.079694Z,2025-10-15T17:15:56.572124Z,public_overview_only,NA,2521,Joshua,Hartshorne,MGH Institute of Health Professions
