vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,vol_short_name,user_id,user_prename,user_sortname,user_affiliation
239,XX ICIS 2016 New Orleans Invited Program,"Invited program International Congress on Infant Studies.

WEDNESDAY MAY 25, 2016
Preconference: Best Practices in Infancy Research 
Jessica Sommerville, Kiley Hamlin, Lisa Oakes, John Colombo, Michael Frank, Laura Namy, Lisa Freund, Marita Hopmann, Infancy/ICIS panel

Preconference: Databrary & Datavyu
Karen Adolph, Rick O. Gilmore


THURSDAY MAY 26, 2016
Plenary Speaker: Birth of a Word
Deb Roy

Invited Speaker: Nutrition & Early Child Development: The First 1000 Days
Maureen Black

Invited Speaker: Human Amygdala: PFC Circuit Development & the Role of Caregiving
Nim Tottenham

Invited Symposium: Development of Attentional Control in Infancy: Insights from Eye-Movements
Shannon Ross-Sheehy, Sam Wass, Susan Rivera


FRIDAY MAY 27, 2016
Presidential Address: Oh, Behave!
Karen Adolph

Invited Speaker: Ontogeny of Social Visual Engagement in Infants and Toddlers with Autism Spectrum Disorder
Ami Klin

Views by Two: Comparative & Developmental Methods in Social Cognition
Laurie Santos, Felix Warneken

Views by Two: Language Learning in Multiple Language Contexts
Jesse Snedeker, Catherine Tamis-LeMonda

Views by Two: Learning from Multiple Inputs by Humans and Robots
Linda Smith, Pierre-Yves Oudeyer

Dedicated Session: Carolyn Rovee-Collier: Her Legacy for Science, Practice, and Academic Leadership
Andrew Meltzoff, Rachel Barr, Kimberly Boller, Harlene Hayne

Presidential Symposium: Global Issues in Development
Sandra Waxman, Cristine Legare


SATURDAY MAY 28, 2016
Invited Speaker: Learning in Infancy: A Rational Response to Stability and Change
Dick Aslin

Invited Speaker: Just Babies: The Origin of Good and Evil
Paul Bloom

Views by Two: Studying Autism with Technology – Sponsored by Positive Science
Jim Rehg, Brian Scassellati

Dedicated Session: In Honor of Gerald Turkewitz: His Scientific Legacy – Sponsored  by Johnson and Johnson Consumer Inc.
David J. Lewkowicz, Robert Lickliter, David S. Moore, Janet Werker 

Invited Symposium: Methods & Meanings: New Insights into Infant Emotional Processes
Koraly Perez-Edgar, Daniel Messinger

Awards Ceremony",2016-05-26T15:56:10.785506Z,2025-03-05T16:34:47.349364Z,public,NA,538,Lisa,Oakes,UC Davis
1115,Visual short‐term memory for overtly attended objects during infancy,"tasks (gaze replays of eye-tracking tasks)
demographic information (excel sheets of data)
filetypes (excel files and video files)",2020-04-13T19:29:24.518767Z,2025-03-05T16:35:16.899339Z,public_overview_only,Overt Attention and VSTM,538,Lisa,Oakes,UC Davis
1131,Developmental changes in natural scene viewing in infancy,"Video data for Pomaranski, K.I., Hayes, T.R., Kwon, M-K, Henderson, J.M., & Oakes, L.M. (2021) ""Developmental changes in natural scene viewing in infancy.""  Developmental Psychology",2020-05-06T17:52:06.861084Z,2025-10-20T19:13:37.832107Z,public,Developmental changes in natural scene viewing in infancy,538,Lisa,Oakes,UC Davis
1154,The role of local meaning in infants’ fixations of natural scenes,"These are the gaze replays for the infants tested in the experiment reported in Oakes et al., (2024).",2020-07-20T19:59:52.228641Z,2025-03-05T16:35:18.295994Z,public,Meaning Maps,538,Lisa,Oakes,UC Davis
1161,The impact of face masks on infants' learning of faces: An eye tracking study.,Subject videos for infants who participated in the DeBolt & Oakes (2023) study.,2020-08-01T00:22:15.571372Z,2025-03-05T16:35:18.762584Z,public,DeBolt & Oakes (2023) The impact of masks on infants',538,Lisa,Oakes,UC Davis
1294,Infant Eye Gaze While Viewing Dynamic Faces,"Stimuli and example videos from Oakes, L. M., DeBolt, M. C., Beckner, A. G., Voss, A. T., & Cantrell, L. M. (2021). Infant Eye Gaze While Viewing Dynamic Faces. Brain Sciences, 11(2), 231.",2021-03-15T23:01:46.016807Z,2025-03-05T16:35:23.877322Z,public,NA,538,Lisa,Oakes,UC Davis
1316,“May I Grab Your Attention?”: An Investigation Into Infants' Visual Preferences for Handled Objects Using Lookit as an Online Platform for Data Collection,"As babies reach new motor milestones, they gain access to new information about the objects around them. Babies who sit up can pick up objects and look at them from many angles, and babies who crawl can see an object in the distance and move their bodies to those objects. How do these changes influence what objects babies prefer? In this study, we determine if babies are drawn to look at different objects before and after motor milestones. We use unfamiliar objects rather than familiar ones because we want to focus on how babies learn about new objects. This research will help us understand how babies learn about the world, and how their motor development influences what they learn.

During the study, each baby sees pairs of objects, with short, 3-second video clips in between to keep his or her attention. In each pair, one object is on the left side of the screen and one is on the right so that we can clearly see which one your baby prefers. We also asked guardians a few questions about the baby's motor development. This study session took about 15 minutes in total.",2021-05-14T20:52:28.265706Z,2025-03-05T16:35:24.802020Z,public,Nelson & Oakes (2021) May I grab your attention,538,Lisa,Oakes,UC Davis
1624,PLAYProject_UCDAV,"Home visit video data sessions collected as part of UC Davis’s contributions to the NIH-funded Play and Learning Across a Year (PLAY) Project. Session data consist of the following:
-Video files of 1-hour natural play, 5-minute structured play, house walk-through, and questionnaires
-Responses to questionnaires covering the participant’s demographics, language, temperament, and locomotion
-Ambient noise decibel meter recordings captured during the 1-hour natural play",2023-07-07T20:40:09.044619Z,2025-03-05T16:35:39.883330Z,public_overview_only,NA,538,Lisa,Oakes,UC Davis
