vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
813,test,test,test,2018-10-31T19:40:49.383788Z,2025-03-05T16:35:04.238842Z,public_overview_only,2921,Fei,Xu,UC Berkeley
1722,How does social contingency facilitate vocabulary development,"These are Datavyu annotations of video-recorded caregiver-infant interactions that are part of the Rollins corpus (https://childes.talkbank.org/access/Eng-NA/Rollins.html). We annotated all observable behaviors of infants and caregivers. Behaviors are classified as verbal/vocal, object-directed, non-object directed. Infants' and caregivers' vocal productions have been imported from the Rollins corpus (or created anew for the subset of videos without utterance annotations) and then classified into several categories. All behaviors are time-stamped. 

Infants in this dataset were 9, 12, and 18 months (with some attrition between 9 and 18 months). Each .opf file corresponds to one video (about 20 minutes long, on average).",Socially contingent interactions in parent-infant dyads,2024-04-09T14:59:40.406184Z,2025-03-05T16:35:45.325885Z,public,2921,Fei,Xu,UC Berkeley
