vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
915,Practice/Setup,Learning how to use Databrary,2019-05-31T19:50:36.482518Z,2025-03-05T16:35:08.961871Z,public_overview_only,2587,Ashley Brooke,de Marchena,University of the Sciences
916,Testing,Practice using Databrary,2019-05-31T20:03:20.133763Z,2025-03-05T16:35:08.975619Z,public_overview_only,2587,Ashley Brooke,de Marchena,University of the Sciences
917,Practice,Practicing Databrary,2019-05-31T20:04:57.244913Z,2025-03-05T16:35:08.989149Z,public_overview_only,2587,Ashley Brooke,de Marchena,University of the Sciences
931,Social Communication in Children with and without Autism Spectrum Disorder,"IDR, telephone, block builder, transparent box, direct requests",2019-06-13T15:45:03.503045Z,2025-03-05T16:35:09.271438Z,public_overview_only,2587,Ashley Brooke,de Marchena,University of the Sciences
1140,Pandemic Qualitative Study,"- Audio from parent interviews
- Tabular data describing participant, child, and family (if possible!)",2020-05-25T12:58:13.219321Z,2025-03-05T16:35:17.661333Z,public_overview_only,2587,Ashley Brooke,de Marchena,University of the Sciences
