vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
290,Infant Self-Feeding,"Development of self-feeding at mealtime of 2 male Japanese infants—Kota and Daiji—born in fall 2001 in two families. The data are naturalistic videotapes recorded at home on a weekly basis, collected for “Akachan (infant) Movie Database”—a movie database of infant niches published in Japan (Sasaki, 2008; Nonaka & Sasaki, 2009). From the 160 hours of recorded video materials, the portion of the video that captured feeding situations (breakfast, lunch, snack, or dinner) were selected for longitudinal observation. Both infants were healthy and developing normally, and their mothers had no medical problems. Both caregivers were biological mothers. The videos were extracted from the first observed instance of contact with a utensil at mealtime to the beginning of successful tool use by children to bring food to their mouths. For both dyads, children were fed exclusively by their mothers at the beginning of observations.",self feeding,2016-11-26T20:44:45.909548Z,2016-11-26T20:44:45.909548Z,private,1889,Tetsushi,Nonaka,Kobe University
297,Affordances of Clay at the Clay Topos,"The “Clay Topos” is a playroom in a nursery school (Takahashi Chuo Hoikuen, Japan)  where children can be surrounded by and play with up to 0.8 tons of high-quality soil clay used by artists. The Clay Topos has been conceived and realized by a Japanese sculptor Hideki Maeshima. In this collection of videos, a group of children played freely in the Clay Topos, where the structure of spontaneous activity of children and the nature of the forces that cause structuring of activities can be observed. 
In the first session, 11 children (from 16 to 26 month-old. Group 1) were invited in the Clay Topos for the first time to play freely for 35 minutes. Caregivers of the nursery school were present and interacted naturally with children. 3 roughly square-shaped lumps of soil clay (about 90 x 90 cm, 15-cm thick, with uneven surfaces) were placed in a row on the floor about 70 cm apart from each other.
In the second session, the behavior of the same children in the same Clay Topos was recorded 5 months after the first session. Between the first and second session, these children had played in the Clay Topos for several times.
Third set of recordings show the behavior of different children from different age group (29 to 38 month-old. Group 2) when they were invited for the first time in the Clay Topos.
All sessions were recorded with 4 video cameras simultaneously from multiple perspectives so that it is possible to follow the behavior of each child wherever they move in the room.",Clay Topos,2016-12-11T15:19:52.054537Z,2025-03-05T16:34:50.326979Z,public,1889,Tetsushi,Nonaka,Kobe University
1030,Piano,Eye tracking piano,piano,2019-11-27T02:26:56.199668Z,2025-03-05T16:35:13.980484Z,public_overview_only,1889,Tetsushi,Nonaka,Kobe University
