vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
1468,DBN - Shanghai -  Wave 1 - Data Collection,This volume contains video and audio files from data collected in Shanghai during Wave 1 of the project.,2022-05-23T02:36:11.606270Z,2025-03-05T16:35:31.650836Z,public_overview_only,7537,Xin (Alice),Zhao,East China Normal University
1607,DBN - Shanghai - Wave 2 - Data Collection,This volume contains video and audio files from data collected in Shanghai during Wave 2 of the project.,2023-05-31T07:00:40.707366Z,2025-03-05T16:35:38.464297Z,public_overview_only,7537,Xin (Alice),Zhao,East China Normal University
1699,DBN - Shanghai -  Datasets,"This volume stores task-by-task subsets of DBN data collection in Shanghai. This includes data from the Child Protocol, Parent Protocol, and Religious Landscape Survey. These data and the volume are to be kept PRIVATE!",2024-02-20T14:33:05.205426Z,2025-07-16T14:26:37.850381Z,public,7537,Xin (Alice),Zhao,East China Normal University
1773,DBN Religious Identity Videos to Share,DBN Religious Identity Videos to Share,2024-07-09T02:28:44.487039Z,2025-03-25T08:53:53.862546Z,public_overview_only,7537,Xin (Alice),Zhao,East China Normal University
1811,DBN - Shanghai -  Wave 3 - Data Collection,This volume contains video and audio files from data collected in Shanghai during Wave 3 of the project.,2024-11-13T07:10:13.927223Z,2025-03-05T16:35:49.289186Z,public_overview_only,7537,Xin (Alice),Zhao,East China Normal University
