vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
961,"Replaced with ""Adult Degu Repeat Reunion""","Volume contains videos redundant with ""Adult Degu Repeat Reunion""",obsolete_repeatreunion,2019-08-14T16:40:12.027423Z,2025-03-05T16:35:10.318544Z,public_overview_only,5292,Nathan,Insel,University of Montana
1297,Adult Degu Repeat Reunion,"This study examines how adult degus establish memories for new individuals. Each video represents one ""reunion"" session in which a degu is exposed either to a cagemate, a new stranger, or a familiar but recently-acquainted conspecific of the same sex.  Videos are purely natural behavior within dyads; no behavioral or physiological/pharmacological manipulations are performed. Reunions take place approximately every 48 hours, which includes 24 hours of co-habitation with a cagemate followed by a 24 hours separation period.

The videos are named as such: monthday_degu1ID_degu2ID_condition. Specific information about the session, condition, and degus involved can be found in the AdultDeguRepeatReunion_ALL and Degu_AgeWeight spreadsheets.",Adult Degu Repeat Reunion,2021-03-24T23:47:36.687329Z,2025-03-05T16:35:23.948540Z,public,5292,Nathan,Insel,University of Montana
1310,Adolescent Degu Repeat Reunion,"Study examines how adolescent degus establish memories for new individuals. Each video represents one ""reunion"" session in which a degu is exposed either to a cagemate, a new stranger, or a familiar but recently-acquainted conspecific of the same sex. Videos are purely natural behavior within dyads; no behavioral or physiological/pharmacological manipulations are performed. Reunions take place approximately each 48 hours, which includes 24 hours of co-habitation with a cagemate followed by a 24 hours separation period.",Adolescent Degu Repeat Reunion,2021-04-23T16:11:27.166332Z,2025-03-05T16:35:24.658718Z,public,5292,Nathan,Insel,University of Montana
1511,Juvenile Repeat Reunion,These videos are of male and female juvenile degus. The methods mirror those used for the adult degus.,NA,2022-08-25T23:36:19.588966Z,2025-03-05T16:35:33.665422Z,public_overview_only,5292,Nathan,Insel,University of Montana
1635,Rat Reunion (Separation vs Isolation),"Data on play activity during reunions following either separation from a specific peer, or isolation from all peers (or neither).",Rat Reunion (SEP vs ISO),2023-08-11T20:46:52.414910Z,2025-03-05T16:35:40.548053Z,public,5292,Nathan,Insel,University of Montana
