vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
1826,Enhancing Teacher Educators' Professional Vision Regarding Preservice Elementary Teachers' Mathematical Proficiency and Emergent STEM Pedagogy Through Quality Talk,"Knowledge of Quality Talk (KQT) (.xlsx files)
Teacher Educator Interviews (transcripts)
Teacher Educators Efficacy Measure (.xlsx files)
Discourse Coding (.docx, .csv files)
Teacher Educator Feedback (.xlsx files and survey data)
Mathematical Reasoning and STEM Problem-solving Task (pdf files)
Course and Field Experience Artifacts (student workbooks, images of student work – image, pptx, word doc files)
Student Feedback (.xlsx files)",,2025-02-18T18:24:17.286047Z,2025-08-17T18:15:06.400808Z,public_overview_only,847,P. Karen,Murphy,The Pennsylvania State University
1858,Investigating Grade-Level and Genre Effects in Quality Talk Discussions: An AI-Powered Discourse Analysis of Upper Primary Students’ High-Level Comprehension [Dataset],"371 AI coded transcripts (.xls files)
Coding manual (.pdf file)
Scripts for AI coding of transcripts",,2025-07-17T17:24:47.185795Z,2025-07-17T19:20:59.180636Z,public_overview_only,847,P. Karen,Murphy,The Pennsylvania State University
