vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
1541,Pedestrian Virtual Road Crossing Demo,"This is a demo of the virtual road-crossing task used in the Hank Virtual Environments Laboratory. The scenario involves a single stream of continuous 25 mph traffic coming from the left-hand side with randomly ordered gaps between 2-5 seconds, with half-second intervals. The task for the participant is to physically cross the virtual road without getting hit by a car. Once the participant reaches the other side, the traffic ceases to be generated and he or she walks back to the start for the next trial. Note that the visual angles are correct from the viewpoint of the pedestrian.",Pedestrian Road Crossing Demo,2022-11-02T14:29:25.156596Z,2025-03-05T16:35:35.287630Z,public,6864,Jodie,Plumert,University of Iowa
1542,Bicyclist Virtual Road Crossing Demo,"This is a demo of the virtual road-crossing task used in the Hank Virtual Environments Laboratory. The scenario involves a single stream of continuous 25 mph traffic coming from the left-hand side with randomly ordered gaps between 2-5 seconds, with half-second intervals. The task for the participant is to bicycle across the virtual road without getting hit by a car. Once the participant reaches the other side, he or she rides to the next intersection for the start of the next trial. Note that the visual angles are correct from the viewpoint of the bicyclist.",Bicyclist Road Crossing Demo,2022-11-02T14:44:25.795752Z,2025-03-05T16:35:35.317398Z,public,6864,Jodie,Plumert,University of Iowa
1788,Augmented Reality Condition Demo (Multilane Crossing),This is an .mp4 video demonstrating an AR condition participant crossing two lanes of opposing traffic in a VR headset. The task for the participant is to physically cross a pair of gaps in the near and far lanes without being hit by a car. Matching colored AR bars in the near and far lanes indicate a gap pair that is safe for crossing.,Multilane AR condition,2024-09-09T14:25:03.384137Z,2025-03-05T16:35:48.402662Z,public,6864,Jodie,Plumert,University of Iowa
1789,Control Condition Demo (Multilane Crossing),This is an .mp4 video demonstrating a control participant crossing two lanes of opposing traffic in a VR headset. The task for the participant is to physically cross a pair of gaps in the near and far lanes without being hit by a car.,Multilane Control Condition,2024-09-09T14:37:05.153784Z,2025-03-05T16:35:48.415891Z,public,6864,Jodie,Plumert,University of Iowa
1791,Augmented Reality Condition for Multilane Crossing,This is a video demonstrating a pedestrian crossing two lanes of traffic with the assistance of augmented reality (AR) cues suspended above crossable pairs of near and far lane gaps. The task for the pedestrian is to cross both lanes of traffic without colliding with a car.,Multilane AR Condition,2024-09-10T15:15:39.259998Z,2025-03-05T16:35:48.502163Z,public,6864,Jodie,Plumert,University of Iowa
1792,Control Condition for Multilane Crossing,This is a video demonstrating a pedestrian in the control condition crossing two lanes of opposing traffic. The task for the pedestrian is to cross the road without colliding with a vehicle.,Multilane control condition,2024-09-10T15:18:53.581500Z,2025-03-05T16:35:48.516561Z,public,6864,Jodie,Plumert,University of Iowa
1794,AR Condition Multilane Crossing,This video demonstrates a pedestrian crossing two lanes of opposing traffic with augmented reality (AR) cues suspended above near and far lane gap pairs that are safe for crossing. The task for the pedestrian is to cross both lanes of traffic without colliding with a vehicle.,AR Condition,2024-09-10T21:15:44.137203Z,2025-03-05T16:35:48.559161Z,public,6864,Jodie,Plumert,University of Iowa
1795,Control Condition Multilane Crossing,This video demonstrates a pedestrian in the control condition crossing two lanes of opposing traffic. The task for the pedestrian is to cross both lanes of traffic without colliding with a vehicle.,Control Condition,2024-09-10T21:17:55.505543Z,2025-03-05T16:35:48.572815Z,public,6864,Jodie,Plumert,University of Iowa
