vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
252,Infant-specific gaze patterns in response to radial optic flow,"The focus of a radial optic flow is a valid visual cue used to perceive and control the heading direction of animals. Gaze patterns in response to the focus of radial optic flow were measured in human infants (N = 100, 4–18 months) and in adults (N = 20) using an eye-tracking technique. Overall, although the adults showed an advantage in detecting the focus of an expansion flow (representing forward locomotion) against that of a contraction flow (representing backward locomotion), infants younger than 1 year showed an advantage in detecting the focus of a contraction flow. Infants aged between 13 and 18 months showed no significant advantage in detecting the focus in either the expansion or in the contraction flow. The uniqueness of the gaze patterns in response to the focus of radial optic flow in infants shows that the visual information necessary to perceive heading direction potentially differs between younger and mature individuals.",2016-07-15T02:19:51.486719Z,2025-03-05T16:34:48.083645Z,public,2219,Nobu,Shirai,Niigata University
270,Emergence of the ability to perceive dynamic events from still pictures in human infants,"The ability to understand a visual scene depicted in a still image is among the abilities shared by all human beings. The aim of the present study was to examine when human infants acquire the ability to perceive the dynamic events depicted in still images (implied motion perception). To this end, we tested whether 4- and 5-month-old infants shifted their gaze toward the direction cued by a dynamic running action depicted in a still figure of a person. Results indicated that the 5- but not the 4-month-olds showed a significant gaze shift toward the direction implied by the posture of the runner (Experiments 1, 2, and 3b). Moreover, the older infants showed no significant gaze shift toward the direction cued by control stimuli, which depicted a figure in a non-dynamic standing posture (Experiment 1), an inverted running figure (Experiment 2), and some of the body parts of a running figure (Experiment 3a). These results suggest that only the older infants responded in the direction of the implied running action of the still figure; thus, implied motion perception emerges around 5 months of age in human infants.",2016-10-18T07:37:32.980838Z,2025-03-05T16:34:49.664969Z,public,2219,Nobu,Shirai,Niigata University
468,"Individual data of ""Shirai et al. (submitted). Development of asymmetric vection for radial expansion/contraction motion: comparison between school-age children and adults""","Vection is illusory self-motion elicited by visual stimuli, and is more easily induced by radial contraction than expansion flow in adults. The asymmetric feature of vection was re-examined with 18 younger (age, 6–8 years) and 19 older children (age, 9–11 years) and 20 adults. In each experimental trial, participants observed either radial expansion or contraction flow; the latency, cumulative duration, and magnitude of vection were measured. The results indicated that the latency for contraction was significantly shorter than that for expansion in all age groups. Additionally, the latency and magnitude were significantly shorter and greater, respectively, in the younger/older children compared with the adults, regardless of the flow pattern. These results indicate that the asymmetry in vection for expansion/contraction flow emerges by school age, and that school-age children experience significantly more rapid and stronger vection than adults.",2017-08-12T02:06:00.824989Z,2025-03-05T16:34:54.490674Z,public,2219,Nobu,Shirai,Niigata University
482,"Individual data of ""Shirai et al. (submitted). Differences in the magnitude of representational momentum between school-aged children and adults as a function of experimental task""","Representational momentum (RM) is the phenomenon that occurs when an object moves and then disappears, and the recalled final position of the object shifts in the direction of its motion. Findings on the magnitude of RM exhibited during childhood are not completely consistent. Some findings indicate that the magnitude of RM in early childhood is comparable to that in adulthood, while others suggest that the magnitude of RM is significantly greater in childhood than in adulthood. We examined whether the inconsistencies between the previous studies could be explained by the difference in the experimental tasks used in these studies. In one study, a same–different judgment between the position at which a moving stimulus disappeared and that at which a comparison stimulus reappeared, called a judging task, was used. In another study, the participants pointed to the position at which the moving stimulus disappeared using a computer mouse cursor. This was called a pointing task. We examined RM in both the judging and pointing tasks and found that, for the judgment task, there was no significant difference in the magnitude of RM among all age groups tested: younger children, mean age = 7.4 years; older children, mean age = 10.7 years; adults, mean age = 22.1. However, in the pointing task, the younger children exhibited a significantly greater RM magnitude than did adults. We discuss possible reasons for the inconsistent developmental trends shown by the two different tasks, namely lower visual motion sensitivity in childhood.",2017-09-09T00:42:32.951755Z,2025-03-05T16:34:54.980748Z,public,2219,Nobu,Shirai,Niigata University
1036,Individual data: Effects of body orientation relative to gravity on vection in children and adults,Individual data of experiments reported in a submitted paper.,2019-12-14T11:04:17.064301Z,2025-03-05T16:35:14.155090Z,public,2219,Nobu,Shirai,Niigata University
1111,"Individual data of ""Effects of visual information presented by augmented reality on children’s behavior""","Individual data of experiments reported in a manuscript ""Effects of visual information presented by augmented reality on children’s behavior"" (accepted for a publication on Scientific Reports)",2020-04-07T04:55:49.424026Z,2025-03-05T16:35:16.564501Z,public,2219,Nobu,Shirai,Niigata University
1112,A poster presented at European Conference on Visual Perception 2019,A poster presented at European Conference on Visual Perception 2019.,2020-04-07T05:08:37.835396Z,2025-03-05T16:35:16.579083Z,public,2219,Nobu,Shirai,Niigata University
1317,Raw data for a manuscript 'Developmental changes in gaze patterns in response to radial optic flow in toddlerhood and childhood' (submitted),Raw data for a manuscript 'Developmental changes in gaze patterns in response to radial optic flow in toddlerhood and childhood' (submitted),2021-05-18T02:22:41.875917Z,2025-03-05T16:35:24.816521Z,public,2219,Nobu,Shirai,Niigata University
1476,"Program files to generate the frame sets of stimulus movies (Shirai and Imura, submitted to Scientific Reports)","Program files to generate the frame sets of stimulus movies (Shirai and Imura, submitted to Scientific Reports)",2022-06-13T01:47:14.410341Z,2025-03-05T16:35:32.072357Z,public,2219,Nobu,Shirai,Niigata University
