vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,vol_short_name,user_id,user_prename,user_sortname,user_affiliation
954,PLAYProject_GEORG,Uploads of ELP PLAY videos for quality assurance,2019-08-01T20:40:40.407730Z,2019-08-01T20:40:40.407730Z,private,NA,104,Rachel,Barr,Georgetown University
1164,Cognitive flexiblity data sharing,This volume includes data collected for NSF BCS-1551719 From memory flexibility to cognitive flexibility: Examining precursors to bilingual advantages during early childhood.  This volume includes a series of videos using different cognitive tasks for children from 18 mo to 5 years of age.,2020-08-10T20:42:02.987074Z,2025-03-05T16:35:18.825241Z,public,ELP Cog flex 1,104,Rachel,Barr,Georgetown University
1165,Cognitive flexiblity data sharing 2,"NSF BSC 1941434. Project Title: Precursors to perspective taking: Examining monolingual and bilingual infants' attention to social cues. 

This volume includes video records of 6 to 18-month-old infants participating in this study.",2020-08-10T21:17:54.783190Z,2025-03-05T16:35:18.853994Z,public,ELP Cog flex 2,104,Rachel,Barr,Georgetown University
1166,Grandparenting in the Digital age during COVID-19--videochat,This includes videochat recordings between grandparents and their grandchildren born in 2020 during the COVID-19 pandemic.,2020-08-10T21:20:18.605825Z,2025-03-05T16:35:18.952175Z,public,Videochat grandparent,104,Rachel,Barr,Georgetown University
1338,GU CAFE dataset to share with OL,Data collected at GU to be shared with open lattice as shared data to be integrated into Openlattice shared dataset,2021-07-08T00:40:21.493527Z,2025-03-05T16:35:25.668642Z,public,GU CAFE SHARE,104,Rachel,Barr,Georgetown University
1369,Puppet task training and reliability materials,"This volume includes videos of the puppet task compiled for reliability training. Children are aged between 6 and 18 months. This dataset is compiled to be shared with other research groups who are going to use this task.
This volume is accessible to authorized databrary users only. When you open the files as an authorized user you have the option to download materials to run the task, code the data, and run the reliability analysis. As per databrary rules please ensure that video sessions are kept confidential and password protected.",2021-10-05T00:03:08.566571Z,2025-03-05T16:35:26.721395Z,public,Puppet manual and reliability,104,Rachel,Barr,Georgetown University
1666,MAQ Integration Data,Numeric data from individual sites,2023-11-06T22:26:03.987639Z,2025-03-05T16:35:41.997535Z,public_overview_only,MAQ Data,104,Rachel,Barr,Georgetown University
1667,MAQ Integration Data,Data from individual sites,2023-11-06T22:29:19.420262Z,2025-03-05T16:35:42.012686Z,public_overview_only,NA,104,Rachel,Barr,Georgetown University
1668,Germany MAQ Data,MAQ data,2023-11-07T16:37:23.714470Z,2025-03-05T16:35:42.079949Z,public_overview_only,MAQ_v2_1_GER,104,Rachel,Barr,Georgetown University
1710,Denver MAQ Data,full denver data,2024-03-25T19:02:00.631893Z,2025-03-05T16:35:44.515191Z,public_overview_only,Denver MAQ Data,104,Rachel,Barr,Georgetown University
1785,CAFE Media Assessment Questionnaire (MAQ) v2,"MAQ Version 2 copies and documentation.

© 2024 Georgetown University, Michigan University, University of Wisconsin, Linkoeping University. All Rights Reserved
Licensed under a Creative Commons Attribution-NonCommercial (CC BY-NC 4.0) license

This volume includes documentation for the CAFE Consortium's Media Assessment Questionnaire (MAQ). The MAQ is designed to capture demographic and household characteristics and the amount, type, content, context of media use in families with young children. The MAQ is the result of ongoing collaboration among an international group of CAFE Consortium Key Investigators. MAQ V2.4 includes measures validated by the CAFE consortium, the MEMO (Suh et al., 2025) measure of parent media motivations and JMES (Koch et al., 2024) of joint media engagement. The MAQ is supplemented by several other questionnaires including the Macarthur-Bates Communicative Development Inventory (Fenson et al., 2000), the Parent Stress Scale (Berry & Jones, 1995), and the DISRUPT measure of parent distraction with mobile devices (McDaniel, 2021).

To see the MAQ documentation including instrument description, please click the link below.

MAQ 2.4 is translated into several languages in addition to English [base language]:
	•	Brazilian Portuguese [In progress] 
	•	Chinese (Simplified) 
	•	Croatian [Partial] 
	•	French 
	•	French (Canada) 
	•	German 
	•	Italian 
	•	Polish [Complete except for in progress MCDI and MEMO short form]
	•	Spanish (US)",2024-09-05T02:11:55.347830Z,2026-01-27T19:46:21.896372Z,public,,104,Rachel,Barr,Georgetown University
1809,Data access for CAFE MAQ,Includes materials that describe the data access process and the details of the variables and data integration process for the MAQ version 1 &2..,2024-11-08T22:22:37.984074Z,2025-03-05T16:35:49.185635Z,public,CAFE data request process,104,Rachel,Barr,Georgetown University
