vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
1411,DBN - Lebanon - Wave 1 - Data Collection,This volume contains video and audio files from data collected in Lebanon during Wave 1 of the project.,2022-01-19T19:27:48.421723Z,2025-08-05T15:30:29.266576Z,public_overview_only,7545,Tamer,Amin,American University of Beirut
1634,DBN - Lebanon - Wave 2 - Data Collection,This volume contains video and audio files from data collected in Lebanon during Wave 2 of the project.,2023-08-03T13:58:39.575263Z,2025-08-05T15:29:54.703239Z,public_overview_only,7545,Tamer,Amin,American University of Beirut
1670,DBN - Lebanon - Datasets,"This volume stores task by task subsets of DBN data collection in Lebanon. This includes data from the Child Protocol, Parent Protocol, and Religious Landscape Survey. These data and the volume are to be kept PRIVATE!",2023-11-08T23:19:17.322739Z,2025-08-05T15:29:39.355564Z,private,7545,Tamer,Amin,American University of Beirut
