vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
1174,TEA 0 a 3,"Conjunto de videos naturalísticos de niños y niñas de 0 a 3 años para un estudio descriptivo con un diseño mixto, retrospectivo y comparativo de niños niños diagnosticados con TEA y con desarrollo típico.",TEA 0 a 3,2020-08-22T01:59:32.868127Z,2025-03-05T16:35:19.597636Z,public,2581,Daniel,Camparo Avila,Universidad de la República
1642,Trastornos del Espectro Autista durante la vida adulta en Uruguay,"En los últimos años ha incrementado considerablemente el interés por el estudio de los
Trastornos del Espectro Autista (TEA), siendo el principal foco la detección e intervención
temprana, ya que son de suma relevancia para transformar el pronóstico funcional y la
autonomía del niño. Resultan tan importantes los estudios en la infancia que se ha dejado de
lado la investigación de la vida adulta de estas personas, la cual también es un tema de sumo
interés ya que es una condición que estará presente en todas las etapas de sus vidas. Es por
ello que el presente proyecto propone introducirnos mediante el relato en primera persona en
el TEA durante la adultez en nuestro país.",NA,2023-09-12T03:43:32.863687Z,2025-03-05T16:35:40.776694Z,public_overview_only,2581,Daniel,Camparo Avila,Universidad de la República
